CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
Croatia,"1,908",+27,48 ,+1,801,"1,059",18,465,12,"26,610","6,482"
Iceland,"1,778",+5,10 ,,"1,417",351,5,"5,210",29,"43,831","128,445"
Uzbekistan,"1,678",+51,6 ,+1,357,"1,315",8,50,0.2,"150,000","4,482"
Iraq,"1,602",+28,83 ,+1,"1,096",423,,40,2,"60,837","1,513"
Estonia,"1,552",+17,43 ,+3,169,"1,340",9,"1,170",32,"42,213","31,822"
Oman,"1,508",+98,8 ,+1,238,"1,262",3,295,2,,
Azerbaijan,"1,480",+44,20 ,+1,865,595,16,146,2,"102,764","10,135"
New Zealand,"1,445",+5,13 ,+1,"1,006",426,3,300,3,"89,508","18,562"
Armenia,"1,401",+62,24 ,+2,609,768,30,473,8,"13,929","4,701"
Lithuania,"1,350",+24,38 ,+1,298,"1,014",17,496,14,"70,753","25,990"
Slovenia,"1,344",+9,77 ,,197,"1,070",25,646,37,"42,976","20,672"
Bosnia and Herzegovina,"1,342",+33,51 ,+2,437,854,4,409,16,"19,195","5,851"
North Macedonia,"1,231",+6,55 ,+1,224,952,9,591,26,"12,340","5,923"
Slovakia,"1,199",+26,14 ,+1,258,927,7,220,3,"49,428","9,053"
Cameroon,"1,163",,43 ,+1,329,791,33,44,2,,
Cuba,"1,137",+50,38 ,+2,309,790,18,100,3,"30,416","2,685"
Afghanistan,"1,092",+66,36 ,,150,906,7,28,0.9,"6,422",165
Ghana,"1,042",,9 ,,99,934,4,34,0.3,"68,591","2,207"
Hong Kong,"1,030",+4,4 ,,650,376,8,137,0.5,"131,786","17,579"
Bulgaria,975,+46,45 ,+2,170,760,34,140,6,"26,417","3,802"
Djibouti,945,+99,2 ,,112,831,,956,2,"8,955","9,064"
Tunisia,884,,38 ,,148,698,35,75,3,"17,287","1,463"
Ivory Coast,879,,10 ,,287,582,,33,0.4,,
Cyprus,784,+12,12 ,,98,674,15,649,10,"37,081","30,712"
Latvia,748,+9,9 ,+4,133,606,3,397,5,"37,972","20,132"
,,,721,,15,,644,62,7,,
Andorra,717,,37 ,,282,398,17,"9,280",479,"1,673","21,653"
Diamond Princess,712,,13 ,,644,55,7,,,,
Guinea,688,+66,6 ,+1,127,555,,52,0.5,,
Lebanon,677,,21 ,,108,548,27,99,3,"21,424","3,139"
Costa Rica,669,+7,6 ,,150,513,6,131,1,"11,387","2,235"
Nigeria,665,,22 ,,188,455,2,3,0.1,"8,003",39
Niger,655,+7,20 ,,124,511,,27,0.8,"4,715",195
Albania,609,+25,26 ,,345,238,10,212,9,"6,017","2,091"
Burkina Faso,600,+19,38 ,,362,200,,29,2,,
Bolivia,598,+34,34 ,+1,37,527,3,51,3,"3,569",306
Kyrgyzstan,590,+22,7 ,,216,367,5,90,1,"26,147","4,008"
Uruguay,535,,11 ,+1,313,211,13,154,3,"13,396","3,856"
Channel Islands,496,+8,24 ,,256,216,,"2,853",138,"3,320","19,095"
Honduras,494,+17,46 ,,29,419,10,50,5,"2,535",256
San Marino,476,+14,40 ,+1,62,374,4,"14,028","1,179","1,820","53,638"
Palestine,466,+17,4 ,+1,71,391,,91,0.8,"17,329","3,397"
Malta,443,+12,3 ,,150,290,2,"1,003",7,"25,645","58,080"
Jordan,428,+3,7 ,,297,124,5,42,0.7,"33,000","3,234"
Taiwan,425,+3,6 ,,217,202,,18,0.3,"55,476","2,329"
Senegal,412,+35,5 ,,242,165,1,25,0.3,466,28
Réunion,410,+2, ,,238,172,2,458,,,
Georgia,408,+6,4 ,,97,307,6,102,1,"7,611","1,908"
DRC,350,+18,25 ,,35,290,,4,0.3,,
Mauritius,328,,9 ,,243,76,3,258,7,"9,755","7,670"
Montenegro,313,+1,5 ,,101,207,7,498,8,"5,085","8,096"
Mayotte,311,+40,4 ,,117,190,4,"1,140",15,"2,000","7,331"
Sri Lanka,310,+6,7 ,,102,201,1,14,0.3,"6,793",317
Isle of Man,307,+7,9 ,,209,89,15,"3,610",106,"2,509","29,506"
Kenya,296,+15,14 ,,74,208,2,6,0.3,"14,704",273
Guatemala,294,+5,7 ,,24,263,3,16,0.4,"7,200",402
Somalia,286,+49,8 ,,4,274,2,18,0.5,,
Venezuela,285,,10 ,,117,158,4,10,0.4,"347,236","12,211"
Vietnam,268,, ,,216,52,8,3,,"206,253","2,119"
Mali,258,+12,14 ,,57,187,,13,0.7,,
Tanzania,254,,10 ,,11,233,4,4,0.2,,
El Salvador,225,+7,7 ,,48,170,2,35,1,"13,352","2,059"
Jamaica,223,,6 ,+1,27,190,,75,2,"1,889",638
Paraguay,208,,8 ,,53,147,1,29,1,"5,501",771
Faeroe Islands,185,, ,,178,7,,"3,786",,"6,171","126,292"
Martinique,163,,14 ,+2,73,76,11,434,37,,
Congo,160,,6 ,,16,138,,29,1,,
Rwanda,150,+3, ,,84,66,,12,,"6,959",537
Guadeloupe,148,,12 ,+4,73,63,13,370,30,,
Brunei ,138,,1 ,,116,21,2,315,2,"11,633","26,591"
Gibraltar,132,, ,,120,12,1,"3,918",,"1,912","56,751"
Cambodia,122,, ,,110,12,1,7,,"5,768",345
Myanmar,121,+2,5 ,,7,109,,2,0.09,"5,198",96
Madagascar,121,, ,,44,77,1,4,,"2,357",85
Gabon,120,,1 ,,7,112,2,54,0.4,572,257
Trinidad and Tobago,114,,8 ,,26,80,,81,6,"1,380",986
Ethiopia,114,+3,3 ,,16,95,,1.0,0.03,"8,698",76
Sudan,107,,12 ,,8,87,,2,0.3,,
Liberia,101,+2,8 ,,7,86,,20,2,,
Aruba,97,,2 ,,51,44,4,909,19,"1,445","13,534"
French Guiana,97,,1 ,,76,20,1,325,3,,
Monaco,94,,3 ,,26,65,2,"2,395",76,,
Bermuda,86,,5 ,,37,44,10,"1,381",80,651,"10,453"
Togo,84,,6 ,,53,25,,10,0.7,"4,381",529
Equatorial Guinea,83,+4, ,,7,76,,59,,854,609
Maldives,83,+14, ,,16,67,2,154,,"4,139","7,657"
Liechtenstein,81,,1 ,,55,25,,"2,124",26,900,"23,605"
Barbados,75,,5 ,,23,47,4,261,17,"1,063","3,699"
Zambia,70,+5,3 ,,35,32,1,4,0.2,"2,586",141
Cabo Verde,68,+1,1 ,,1,66,,122,2,,
Sint Maarten,67,,10 ,,12,45,6,"1,563",233,163,"3,802"
Guyana,66,+1,7 ,,9,50,5,84,9,328,417
Cayman Islands,66,,1 ,,7,58,3,"1,004",15,778,"11,838"
Bahamas,64,+4,9 ,,11,44,1,163,23,,
Uganda,58,+2, ,,38,20,,1,,"13,742",300
Haiti,57,,3 ,,,54,,5,0.3,618,54
French Polynesia,56,, ,,19,37,1,199,,"1,515","5,393"
Benin,54,,1 ,,27,26,,4,0.08,,
Libya,51,,1 ,,15,35,,7,0.1,808,118
Guinea-Bissau,50,, ,,3,47,,25,,"1,500",762
Sierra Leone,50,+7, ,,6,44,,6,,,
Macao,45,, ,,24,21,1,69,,,
Nepal,43,+12, ,,4,39,,1,,"29,567","1,015"
Syria,42,+3,3 ,,6,33,,2,0.2,,
Eritrea,39,, ,,6,33,,11,,,
Mozambique,39,, ,,8,31,,1,,"1,163",37
Saint Martin,37,,2 ,,19,16,5,957,52,,
Mongolia,34,+1, ,,8,26,,10,,"6,800","2,074"
Chad,33,, ,,8,25,,2,,,
Eswatini,31,+7,1 ,,8,22,,27,0.9,714,615
Zimbabwe,25,,3 ,,2,20,,2,0.2,"3,308",223
Angola,24,,2 ,,6,16,,0.7,0.06,,
Antigua and Barbuda,23,,3 ,,7,13,1,235,31,108,"1,103"
Timor-Leste,23,+1, ,,1,22,,17,,322,244
Botswana,20,,1 ,,,19,,9,0.4,"4,432","1,885"
Laos,19,, ,,2,17,,3,,"1,349",185
Belize,18,,2 ,,2,14,1,45,5,651,"1,637"
Malawi,18,+1,2 ,,3,13,1,0.9,0.1,429,22
Fiji,18,, ,,3,15,,20,,,
New Caledonia,18,, ,,17,1,1,63,,"3,552","12,441"
Dominica,16,, ,,8,8,,222,,345,"4,793"
Namibia,16,, ,,6,10,,6,,524,206
Saint Kitts and Nevis,15,, ,,,15,,282,,247,"4,643"
Saint Lucia,15,, ,,13,2,,82,,364,"1,982"
Curaçao,14,,1 ,,11,2,,85,6,286,"1,743"
CAR,14,+2, ,,10,4,,3,,,
Grenada,14,, ,,6,8,4,124,,92,818
St. Vincent Grenadines,12,, ,,2,10,,108,,94,847
Turks and Caicos,11,,1 ,,,10,,284,26,83,"2,144"
Falkland Islands,11,, ,,3,8,,"3,161",,319,"91,667"
Greenland,11,, ,,11,0,,194,,"1,101","19,394"
Montserrat,11,, ,,2,9,1,"2,204",,36,"7,212"
Seychelles,11,, ,,5,6,,112,,,
Nicaragua,10,,2 ,,6,2,,2,0.3,,
Gambia,10,,1 ,,2,7,,4,0.4,316,131
Suriname,10,,1 ,,6,3,,17,2,,
MS Zaandam,9,,2 ,,,7,,,,,
Vatican City,9,, ,,2,7,,"11,236",,,
Mauritania,7,,1 ,,6,0,,2,0.2,913,196
Papua New Guinea,7,, ,,,7,,0.8,,604,68
Bhutan,6,+1, ,,2,4,,8,,"8,765","11,359"
St. Barth,6,, ,,5,1,,607,,,
Western Sahara,6,, ,,,6,,10,,,
British Virgin Islands,5,,1 ,,3,1,,165,33,,
Burundi,5,,1 ,,4,0,,0.4,0.08,80,7
Caribbean Netherlands,5,, ,,,5,,191,,110,"4,195"
Sao Tome and Principe,4,, ,,,4,,18,,19,87
South Sudan,4,, ,,,4,,0.4,,,
Anguilla,3,, ,,1,2,,200,,,
Saint Pierre Miquelon,1,, ,,,1,,173,,,
Yemen,1,, ,,,1,,0.03,,,
