,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
0,Afghanistan,1026,30,36,3,135,855,7,26,0.9,6422,165
1,Albania,584,22,26,0,327,231,5,203,9,5775,2007
2,Algeria,2718,89,384,9,1099,1235,40,62,9,6500,148
3,Andorra,717,4,37,1,248,432,17,9280,479,1673,21653
4,Angola,24,0,2,0,6,16,0,0.7,0.06,0,0
5,Anguilla,3,0,0,0,1,2,0,200,0,0,0
6,AntiguaandBarbuda,23,0,3,0,3,17,1,235,31,73,745
7,Argentina,2941,0,136,2,737,2068,123,65,3,34568,765
8,Armenia,1339,48,22,2,580,737,30,452,7,13373,4513
9,Aruba,97,0,2,0,49,46,4,909,19,1442,13506
10,Australia,6619,7,71,0,4258,2290,49,260,3,431734,16931
11,Austria,14795,46,470,18,10631,3694,194,1643,52,182949,20313
12,Azerbaijan,1436,38,19,0,791,626,16,142,2,95747,9443
13,Bahamas,60,0,9,0,11,40,1,153,23,0,0
14,Bahrain,1907,26,7,0,769,1131,2,1121,4,89225,52437
15,Bangladesh,2948,492,101,10,85,2762,1,18,0.6,26604,162
16,Barbados,75,0,5,0,19,51,4,261,17,1035,3602
17,Belarus,6264,1485,51,4,514,5699,92,663,5,102556,10853
18,Belgium,39983,1487,5828,145,8895,25260,1071,3450,503,161896,13969
19,Belize,18,0,2,0,2,14,1,45,5,651,1637
20,Benin,54,19,1,0,27,26,0,4,0.08,0,0
21,Bermuda,86,0,5,0,35,46,10,1381,80,638,10244
22,Bhutan,5,0,0,0,2,3,0,6,0,8570,11107
23,Bolivia,564,44,33,1,31,500,3,48,3,3569,306
24,BosniaandHerzegovina,1309,24,49,1,381,879,4,399,15,18538,5650
25,Botswana,20,0,1,0,0,19,0,9,0.4,4432,1885
26,Brazil,40581,1927,2845,383,22130,15606,7919,191,13,62985,296
27,BritishVirginIslands,5,1,1,0,3,1,0,165,33,0,0
28,Brunei,138,0,1,0,116,21,2,315,2,11633,26591
29,Bulgaria,929,35,43,1,167,719,34,134,6,26417,3802
30,BurkinaFaso,581,5,38,2,357,186,0,28,2,0,0
31,Burundi,5,0,1,0,4,0,0,0.4,0.08,80,7
32,CAR,12,0,0,0,4,8,0,2,0,0,0
33,CaboVerde,67,6,1,0,1,65,0,121,2,0,0
34,Cambodia,122,0,0,0,107,15,1,7,0,5768,345
35,Cameroon,1017,0,42,0,305,670,33,38,2,0,0
36,Canada,36670,1614,1680,93,12197,22793,557,972,45,549349,14555
37,CaribbeanNetherlands,5,0,0,0,0,5,0,191,0,110,4195
