CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"3,798,099","+73,581","262,639","+4,612","1,279,192","2,256,268","48,377",487,33.7,,
,Europe,,"1,524,256","+30,283","146,536","+2,434","589,737","787,983","15,843",,
,North America,,"1,364,880","+17,678","81,116","+1,670","253,848","1,029,916","17,173",,
USA,"1,252,204","+14,571","73,497 ","+1,226","204,657","974,050","15,990","3,783",222,"7,858,510","23,742"
,Asia,,"603,067","+15,875","20,805",+355,"326,998","255,264","5,239",,
Spain,"253,682","+3,121","25,857 ",+244,"159,359","68,466","2,075","5,426",553,"1,932,455","41,332"
,South America,,"244,884","+8,059","12,093",+112,"82,914","149,877","9,960",,
Italy,"214,457","+1,444","29,684 ",+369,"93,245","91,528","1,333","3,547",491,"2,310,929","38,221"
UK,"201,101","+6,111","30,076 ",+649,N/A,"170,681","1,559","2,962",443,"1,448,010","21,330"
France,"174,191","+3,640","25,809 ",+278,"53,972","94,410","3,147","2,669",395,"1,100,228","16,856"
Germany,"167,575",+568,"7,190 ",+197,"137,400","22,985","1,884","2,000",86,"2,547,052","30,400"
Russia,"165,929","+10,559","1,537 ",+86,"21,327","143,065","2,300","1,137",11,"4,633,731","31,752"
Turkey,"131,744","+2,253","3,584 ",+64,"78,202","49,958","1,278","1,562",42,"1,234,724","14,640"
Brazil,"121,600","+6,885","8,022 ",+101,"48,221","65,357","8,318",572,38,"339,552","1,597"
Iran,"101,650","+1,680","6,418 ",+78,"81,587","13,645","2,735","1,210",76,"531,275","6,325"
China,"82,883",+2,"4,633 ",,"77,911",339,26,58,3,,
Canada,"63,375","+1,329","4,223 ",+180,"26,993","32,159",502,"1,679",112,"940,567","24,921"
India,"52,987","+3,587","1,785 ",+92,"15,331","35,871",,38,1,"1,276,781",925
,Africa,,"51,824","+1,658","1,956",+39,"17,657","32,211",127,,
Peru,"51,189",,"1,444 ",,"15,413","34,332",709,"1,553",44,"406,579","12,331"
Belgium,"50,781",+272,"8,339 ",+323,"12,731","29,711",646,"4,382",720,"474,176","40,914"
Netherlands,"41,319",+232,"5,204 ",+36,N/A,"35,865",628,"2,411",304,"243,277","14,198"
Saudi Arabia,"31,938","+1,687",209 ,+9,"6,783","24,946",143,917,6,"389,659","11,193"
Ecuador,"31,881",,"1,569 ",,"3,433","26,879",159,"1,807",89,"80,171","4,544"
Switzerland,"30,060",+51,"1,795 ",,"25,400","2,865",121,"3,473",207,"290,365","33,550"
Portugal,"26,182",+480,"1,089 ",+15,"2,076","23,017",136,"2,568",107,"470,234","46,116"
Mexico,"26,025","+1,120","2,507 ",+236,"16,810","6,708",378,202,19,"100,041",776
Sweden,"23,918",+702,"2,941 ",+87,"4,074","16,903",425,"2,368",291,"148,500","14,704"
Pakistan,"23,214","+1,165",544 ,+30,"6,281","16,389",111,105,2,"232,582","1,053"
Chile,"23,048","+1,032",281 ,+6,"11,189","11,578",470,"1,206",15,"232,108","12,142"
Ireland,"22,248",+265,"1,375 ",+36,"13,386","7,487",93,"4,506",278,"214,761","43,493"
Singapore,"20,198",+788,20 ,+2,"1,634","18,544",23,"3,452",3,"175,604","30,016"
Belarus,"19,255",+905,112 ,+5,"4,388","14,755",92,"2,038",12,"220,045","23,287"
Qatar,"17,972",+830,12 ,,"2,070","15,890",72,"6,238",4,"112,963","39,209"
Israel,"16,314",+25,238 ,,"10,527","5,549",90,"1,885",27,"423,125","48,885"
UAE,"15,738",+546,157 ,+11,"3,359","12,222",1,"1,591",16,"1,200,000","121,330"
Austria,"15,684",+34,608 ,+2,"13,639","1,437",97,"1,741",68,"292,254","32,450"
Japan,"15,253",,556 ,,"4,496","10,201",308,121,4,"186,343","1,473"
Poland,"14,740",+309,733 ,+17,"4,655","9,352",160,389,19,"410,468","10,846"
Romania,"14,107",+270,864 ,+23,"5,788","7,455",244,733,45,"217,139","11,287"
Ukraine,"13,184",+487,327 ,+11,"2,097","10,760",169,301,7,"144,283","3,299"
Indonesia,"12,438",+367,895  ,+23,"2,317","9,226",,45,3,"121,547",444
Bangladesh,"11,719",+790,186 ,+3,"1,403","10,130",1,71,1,"99,646",605
S. Korea,"10,806",+2,255 ,+1,"9,333","1,218",55,211,5,"643,095","12,543"
Philippines,"10,004",+320,658 ,+21,"1,506","7,840",31,91,6,"140,134","1,279"
Denmark,"9,938",+117,506 ,+3,"7,493","1,939",46,"1,716",87,"270,680","46,732"
Serbia,"9,791",+114,203 ,+3,"1,971","7,617",48,"1,121",23,"117,474","13,445"
Dominican Republic,"8,807",+327,362 ,+8,"1,905","6,540",144,812,33,"33,377","3,077"
Colombia,"8,613",,378 ,,"2,013","6,222",128,169,7,"127,105","2,498"
,Oceania,,"8,467",+28,118,+2,"7,393",956,31,,
Norway,"7,976",+21,216 ,+1,32,"7,728",27,"1,471",40,"189,657","34,984"
Czechia,"7,933",+37,262 ,+5,"4,202","3,469",59,741,24,"278,519","26,008"
Egypt,"7,588",+387,469 ,+17,"1,815","5,304",,74,5,"90,000",879
South Africa,"7,572",,148 ,,"2,746","4,678",36,128,2,"268,064","4,520"
Panama,"7,523",+136,210 ,+7,823,"6,490",88,"1,744",49,"36,483","8,455"
Australia,"6,875",+26,97 ,+1,"5,984",794,27,270,4,"688,656","27,006"
Malaysia,"6,428",+45,107 ,+1,"4,702","1,619",22,199,3,"222,150","6,864"
Kuwait,"6,289",+485,42 ,+2,"2,219","4,028",88,"1,473",10,"196,397","45,988"
Finland,"5,573",+161,252 ,+6,"3,500","1,821",44,"1,006",45,"108,200","19,528"
Morocco,"5,408",+189,183 ,+2,"2,017","3,208",1,147,5,"52,958","1,435"
Argentina,"5,020",,264 ,,"1,524","3,232",148,111,6,"72,315","1,600"
Algeria,"4,997",+159,476 ,+6,"2,197","2,324",22,114,11,"6,500",148
Moldova,"4,476",+113,143 ,+7,"1,658","2,675",237,"1,110",35,"20,447","5,069"
Kazakhstan,"4,422",+217,30 ,+1,"1,408","2,984",31,236,2,"336,480","17,920"
Bahrain,"3,934",+214,8 ,,"1,860","2,066",4,"2,312",5,"160,341","94,231"
Luxembourg,"3,851",+11,98 ,+2,"3,452",301,20,"6,152",157,"50,533","80,726"
Afghanistan,"3,392",+168,104 ,+9,458,"2,830",7,87,3,"13,777",354
Hungary,"3,111",+46,373 ,+10,759,"1,979",50,322,39,"86,743","8,979"
Thailand,"2,989",+1,55 ,+1,"2,761",173,61,43,0.8,"227,860","3,264"
Nigeria,"2,950",,98 ,,481,"2,371",4,14,0.5,"21,208",103
Oman,"2,903",+168,13 ,,888,"2,002",17,568,3,"40,459","7,923"
Armenia,"2,782",+163,40 ,,"1,135","1,607",10,939,13,"26,929","9,088"
Ghana,"2,719",,18 ,,294,"2,407",4,88,0.6,"129,461","4,166"
Greece,"2,663",+21,147 ,+1,"1,374","1,142",36,255,14,"87,052","8,352"
Iraq,"2,480",+49,102 ,,"1,602",776,,62,3,"117,726","2,927"
Cameroon,"2,265",+161,64 ,,"1,000","1,201",12,85,2,,
Uzbekistan,"2,233",+26,10 ,,"1,577",646,8,67,0.3,"325,000","9,710"
Azerbaijan,"2,127",+67,28 ,+2,"1,536",563,18,210,3,"169,790","16,746"
Croatia,"2,119",+7,85 ,+2,"1,601",433,14,516,21,"41,053","10,000"
Bosnia and Herzegovina,"1,987",+41,86 ,+7,928,973,4,606,26,"36,492","11,123"
Guinea,"1,856",+45,11 ,+1,597,"1,248",,141,0.8,,
Bolivia,"1,802",+121,86 ,+4,187,"1,529",3,154,7,"7,651",655
Iceland,"1,799",,10 ,,"1,750",39,,"5,272",29,"51,663","151,397"
Bulgaria,"1,778",+74,84 ,+4,360,"1,334",38,256,12,"51,768","7,450"
Estonia,"1,713",+2,55 ,,264,"1,394",4,"1,291",41,"58,955","44,443"
Cuba,"1,703",+18,69 ,,"1,001",633,8,150,6,"57,711","5,095"
North Macedonia,"1,539",+13,88 ,+2,"1,057",394,21,739,42,"17,836","8,561"
New Zealand,"1,488",+2,21 ,+1,"1,316",151,2,309,4,"160,700","33,325"
Ivory Coast,"1,464",,18 ,,701,745,,56,0.7,"11,448",434
Slovenia,"1,448",+3,99 ,+1,246,"1,103",14,697,48,"58,923","28,343"
Senegal,"1,433",+104,12 ,+1,493,928,6,86,0.7,"18,969","1,133"
Slovakia,"1,429",+8,25 ,,762,642,4,262,5,"104,606","19,160"
Lithuania,"1,428",+5,48 ,+2,718,662,17,525,18,"156,493","57,486"
Honduras,"1,270",+92,93 ,+10,122,"1,055",10,128,9,"5,653",571
Djibouti,"1,120",,2 ,,745,373,,"1,134",2,"14,378","14,553"
Hong Kong,"1,041",,4 ,,932,105,2,139,0.5,"154,989","20,674"
Tunisia,"1,022",,43 ,,482,497,17,86,4,"25,165","2,129"
Latvia,900,+4,17 ,,464,419,3,477,9,"68,627","36,384"
Cyprus,883,+5,15 ,,296,572,15,731,12,"66,975","55,472"
Somalia,873,+38,39 ,+1,87,747,2,55,2,,
Kyrgyzstan,871,+28,12 ,+1,614,245,13,134,2,"59,490","9,118"
Sudan,852,+74,45 ,,80,727,,19,1,,
Albania,832,+12,31 ,,595,206,7,289,11,"9,531","3,312"
