CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"2,473,566","+66,991","170,185","+5,154","645,019","1,658,362","56,444",317,21.8,,
,Europe,,"1,112,592","+23,336","104,335","+2,499","321,520","686,737","26,126",,
,North America,,"846,638","+26,555","45,166","+1,829","88,105","713,367","14,720",,
USA,"788,202","+23,566","42,257 ","+1,682","71,781","674,164","13,634","2,381",128,"3,987,028","12,045"
,Asia,,"395,655","+12,498","15,105",+319,"186,195","194,355","6,310",,
Spain,"200,210","+1,536","20,852 ",+399,"80,587","98,771","7,371","4,282",446,"930,230","19,896"
Italy,"181,228","+2,256","24,114 ",+454,"48,877","108,237","2,573","2,997",399,"1,398,024","23,122"
France,"155,383","+2,489","20,265 ",+547,"37,409","97,709","5,683","2,380",310,"463,662","7,103"
Germany,"146,653",+911,"4,706 ",+64,"91,500","50,447","2,889","1,750",56,"1,728,357","20,629"
UK,"124,743","+4,676","16,509 ",+449,N/A,"107,890","1,559","1,838",243,"501,379","7,386"
Turkey,"90,980","+4,674","2,140 ",+123,"13,430","75,410","1,909","1,079",25,"673,980","7,991"
,South America,,"86,013","+3,761","4,320",+471,"36,951","44,742","9,053",,
Iran,"83,505","+1,294","5,209 ",+91,"59,273","19,023","3,389",994,62,"353,012","4,203"
China,"82,747",+12,"4,632 ",,"77,084","1,031",81,57,3,,
Russia,"47,121","+4,268",405 ,+44,"3,446","43,270",700,323,3,"2,053,319","14,070"
Brazil,"40,581","+1,927","2,845 ",+383,"22,130","15,606","7,919",191,13,"62,985",296
Belgium,"39,983","+1,487","5,828 ",+145,"8,895","25,260","1,071","3,450",503,"161,896","13,969"
Canada,"36,670","+1,614","1,680 ",+93,"12,197","22,793",557,972,45,"549,349","14,555"
Netherlands,"33,405",+750,"3,751 ",+67,250,"29,404","1,158","1,950",219,"171,415","10,004"
Switzerland,"27,944",+204,"1,429 ",+36,"18,600","7,915",386,"3,229",165,"224,442","25,933"
,Africa,,"23,790",+824,"1,161",+36,"6,352","16,277",175,,
Portugal,"20,863",+657,735 ,+21,610,"19,518",215,"2,046",72,"235,878","23,133"
India,"18,539",+924,592 ,+33,"3,273","14,674",,13,0.4,"401,586",291
Peru,"16,325",+697,445 ,+45,"6,968","8,912",385,495,13,"148,011","4,489"
