CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,SeriousCritical,TotCases-1Mpop,Deaths-1M pop,TotalTests,Tests-1M pop
World,"2,075,920","+78,014","134,327","+7,726","509,631","1,431,962","51,145",266,17.2,,
,Europe,,"967,565","+30,277","88,215","+4,497","257,966","621,384","28,603",,
,North America,,"686,399","+30,317","30,320","+2,633","60,538","595,541","14,595",,
USA,"642,201","+28,315","28,484 ","+2,437","48,567","565,150","13,487","1,940",86,"3,258,424","9,844"
,Asia,,"332,622","+11,225","12,019",+294,"159,945","160,658","6,462",,
Spain,"177,644","+3,584","18,708 ",+453,"70,853","88,083","7,371","3,799",400,"650,755","13,918"
Italy,"165,155","+2,667","21,645 ",+578,"38,092","105,418","3,079","2,732",358,"1,117,404","18,481"
France,"147,863","+4,560","17,167 ","+1,438","30,955","99,741","6,457","2,265",263,"333,807","5,114"
Germany,"134,753","+2,543","3,804 ",+309,"72,600","58,349","4,288","1,608",45,"1,728,357","20,629"
UK,"98,476","+4,603","12,868 ",+761,N/A,"85,264","1,559","1,451",190,"398,916","5,876"
China,"82,295",,"3,342 ",,"77,816","1,137",113,57,2,,
Iran,"76,389","+1,512","4,777 ",+94,"49,933","21,679","3,643",909,57,"299,204","3,562"
Turkey,"69,392","+4,281","1,518 ",+115,"5,674","62,200","1,820",823,18,"477,716","5,664"
,South America,,"62,883","+5,194","2,774",+263,"22,366","37,743","1,219",,
Belgium,"33,573","+2,454","4,440 ",+283,"7,107","22,026","1,204","2,897",383,"128,132","11,056"
Brazil,"28,320","+3,058","1,736 ",+204,"14,026","12,558",296,133,8,"62,985",296
Canada,"28,205","+1,142","1,006 ",+103,"8,937","18,262",557,747,27,"462,353","12,250"
Netherlands,"28,153",+734,"3,134 ",+189,250,"24,769","1,279","1,643",183,"140,845","8,220"
Switzerland,"26,336",+400,"1,239 ",+65,"15,400","9,697",386,"3,043",143,"199,000","22,993"
Russia,"24,490","+3,388",198  ,+28,"1,986","22,306",8,168,1,"1,517,992","10,402"
Portugal,"18,091",+643,599 ,+32,383,"17,109",208,"1,774",59,"208,314","20,430"
